area_level1_name,area_level2_name,operator_name,sample_origin_4g_ios,sample_count_4g_ios,device_count_4g_ios,avg_dl_4g_ios,sample_origin_4g_ad,sample_count_4g_ad,device_count_4g_ad,avg_dl_4g_ad,sample_origin_ip12_5g,sample_count_ip12_5g,device_count_ip12_5g,avg_dl_ip12_5g,sample_origin_ip12_fb,sample_count_ip12_fb,device_count_ip12_fb,avg_dl_ip12_fb,sample_origin_ip12_lk,sample_count_ip12_lk,device_count_ip12_lk,avg_dl_ip12_lk,sample_origin_ad_5g,sample_count_ad_5g,device_count_ad_5g,avg_dl_ad_5g,sample_origin_ad_fb,sample_count_ad_fb,device_count_ad_fb,avg_dl_ad_fb,sample_origin_ad_lk,sample_count_ad_lk,device_count_ad_lk,avg_dl_ad_lk
Pirkanmaa,Southern Pirkanmaa,DNA,262,184,78,41.6,518,349,154,47.1,17,10,2,330.8,49,28,9,56.8,79,26,8,162.1,55,35,9,325.6,57,40,17,38.9,87,58,19,80
Ostrobothnia,South Eastern Bothnia,DNA,26,21,13,17.2,88,43,32,18.2,0,0,0,0,1,1,1,13.1,1,1,1,31.3,0,0,0,0,1,1,1,84.7,10,5,4,21.5
Finnmark,Tana,ice.net,0,0,0,0,3,1,1,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ostrobothnia,Siikalatva,Elisa,51,36,23,49.4,253,144,67,43.7,0,0,0,0,0,0,0,0,13,11,4,50.5,5,4,3,170.3,16,13,8,33.8,9,7,5,57.9
Pirkanmaa,Upper Pirkanmaa,Telia,168,138,85,53.7,563,431,199,48.4,1,1,1,130.3,4,4,4,42.1,34,20,9,93.2,52,26,12,183,109,74,21,62.7,45,28,16,52.2
Central Finland,Keuruu,Telia,83,71,36,26.9,217,149,61,35.8,0,0,0,0,0,0,0,0,7,5,5,30.5,1,1,1,233.4,53,25,2,85.3,20,19,6,45.2
Northern Ostrobothnia,Raahe,DNA,136,109,45,64.5,652,455,154,54.7,7,7,3,247.9,114,49,2,21,10,9,3,131.2,8,7,5,375.6,17,15,8,42.7,94,51,18,40.8
Pirkanmaa,Upper Pirkanmaa,DNA,155,100,53,42.4,464,319,131,46.7,0,0,0,0,2,2,2,16.5,8,6,3,49.4,16,11,3,261.9,39,29,13,41.7,46,36,16,60.6
Lapland,Tornio Valley,DNA,7,3,3,16.9,33,24,11,49.2,0,0,0,0,0,0,0,0,2,2,2,5.7,0,0,0,0,0,0,0,0,7,4,3,53.4
Lapland,Eastern Lapland,Elisa,167,128,77,42.1,266,170,114,38.7,0,0,0,0,12,7,6,53.7,10,8,8,27.1,5,5,5,177.3,50,38,15,44.3,6,4,4,65.9
Satakunta,South Eastern Satakun,DNA,101,76,48,58.3,237,197,91,70.1,1,1,1,324.7,3,3,3,127.6,11,10,7,77,4,3,2,328.3,17,14,9,56.9,7,7,4,61.2
Uusimaa,Lohja,Elisa,826,576,287,48.6,1685,1142,553,45.3,52,36,21,139.7,35,20,9,88.8,59,51,32,46.5,313,195,86,248.7,365,236,77,62.6,211,101,46,34.2
Southern Savonia,Pieksämäki,Elisa,550,145,46,40,328,226,103,40.9,30,20,4,263.7,2,2,1,5.4,15,12,10,55.9,30,18,13,181.2,108,77,18,45.5,42,27,13,45.8
Northern Ostrobothnia,Oulunkaari,DNA,83,58,46,48.9,291,217,137,50.5,12,8,2,525,9,7,4,89.9,5,4,4,54.9,59,14,7,438.1,65,24,11,66.6,37,28,16,53.7
Finland Proper,Salo,DNA,254,185,123,38.6,1146,772,323,39.5,6,6,5,319.2,23,22,11,55.2,30,27,16,61.3,46,35,13,293.4,69,49,16,68,131,75,30,39.4
Norrbotten,Pajala,N4M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
