PostCode,NAME_1,NAME_2,NAME_3,NAME_4,PostCode_Name,Surface_Area,Inhabitants,Inhabitants_Density,Average_age,Average_income,Accumulated_purchasing_power,Buildings,Building_Density,Inhabitants_per_Building,Enterprise_Density,Enterprise_Total
33180,Western Finland,Pirkanmaa,Tampere,Tampere,33180  Lapinniemi-Käpylä (Tampere),5758971,2302,400,52,26651,54394203,172,30,13,280,1611
33200,Western Finland,Pirkanmaa,Tampere,Tampere,33200  Tampere Keskus Läntinen (Tampere),946334,6687,7066,44,27840,172413775,183,193,37,6493,6145
33210,Western Finland,Pirkanmaa,Tampere,Tampere,33210  Itä-Amuri-Tammerkoski (Tampere),1130608,5819,5147,45,25341,135497599,155,137,38,5149,5821
33230,Western Finland,Pirkanmaa,Tampere,Tampere,33230  Länsi-Amuri (Tampere),3895401,6044,1552,46,29321,155575163,302,78,20,563,2195
33240,Western Finland,Pirkanmaa,Tampere,Tampere,33240  Tahmela (Tampere),1404563,1633,1163,41,43913,58140875,316,225,5,157,221
33250,Western Finland,Pirkanmaa,Tampere,Tampere,33250  Pispala (Tampere),3603053,2372,658,40,28862,57146552,518,144,5,96,347
33270,Western Finland,Pirkanmaa,Tampere,Tampere,33270  Epilä (Tampere),6678282,7565,1133,41,26934,163568184,838,125,9,245,1639
33300,Western Finland,Pirkanmaa,Tampere,Tampere,33300  Rahola (Tampere),7721106,5112,662,41,27382,112157212,822,106,6,139,1077
33310,Western Finland,Pirkanmaa,Tampere,Tampere,33310  Tesoma (Tampere),3070726,7548,2458,43,21613,131512740,441,144,17,381,1171
33330,Western Finland,Pirkanmaa,Tampere,Tampere,33330  Myllypuro-Kalkku (Tampere),7671729,3356,437,37,23273,60859468,506,66,7,368,2824
33340,Western Finland,Pirkanmaa,Tampere,Tampere,33340  Haukiluoma-Ikuri (Tampere),2869421,5343,1862,42,25944,109977014,1182,412,5,130,372
33380,Western Finland,Pirkanmaa,Tampere,Nokia,33380  Pitkäniemi (Nokia),2026379,33,16,51,19369,619801,42,21,1,541,1096
33400,Western Finland,Pirkanmaa,Tampere,Tampere,33400  Luoteis-Tampere (Tampere),10063565,9525,946,39,26089,201436367,1706,170,6,313,3146
33410,Western Finland,Pirkanmaa,Tampere,Tampere,33410  Lentävänniemi (Tampere),8285222,5514,666,44,22975,109128889,347,42,16,32,261
33420,Western Finland,Pirkanmaa,Tampere,Tampere,33420  Lamminpää (Tampere),2291446,2026,884,42,27387,43573314,684,299,3,252,577
33430,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,33430  Vuorentausta (Ylöjärvi),5306617,2830,533,42,26088,58463227,727,137,4,61,323
33450,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,33450  Siivikkala (Ylöjärvi),19245034,2963,154,39,29585,65589050,872,45,3,15,297
33470,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,33470  Ylöjärvi Keskus (Ylöjärvi),25129088,6365,253,44,24307,124110761,1502,60,4,196,4930
33480,Western Finland,Pirkanmaa,Tampere,Ylöjärvi,33480  Manninmäki-Haavisto (Ylöjärvi),33054773,7548,228,38,28309,154228617,1724,52,4,29,971
33500,Western Finland,Pirkanmaa,Tampere,Tampere,33500  Osmonmäki-Petsamo (Tampere),3977828,11318,2845,44,23832,242157544,521,131,22,598,2379
33520,Western Finland,Pirkanmaa,Tampere,Tampere,33520  Keskussairaala-alue-Kauppi (Tampere),1680668,961,572,38,25568,20045678,156,93,6,5219,8772
33530,Western Finland,Pirkanmaa,Tampere,Tampere,33530  Kissanmaa (Tampere),1426277,5055,3544,41,23888,106514892,606,425,8,385,549
33540,Western Finland,Pirkanmaa,Tampere,Tampere,33540  Kaleva (Tampere),1576766,9998,6341,38,21091,191467995,243,154,41,2557,4032
33560,Western Finland,Pirkanmaa,Tampere,Tampere,33560  Takahuhti (Tampere),15506701,10159,655,43,27409,226891193,1506,97,7,138,2134
33580,Western Finland,Pirkanmaa,Tampere,Tampere,33580  Atala-Linnainmaa (Tampere),9813300,15525,1582,40,26259,319251689,2483,253,6,182,1786
33610,Western Finland,Pirkanmaa,Tampere,Tampere,33610  Olkahinen-Tasanne (Tampere),9768509,3830,392,40,29070,86540738,994,102,4,30,294
33680,Western Finland,Pirkanmaa,Tampere,Tampere,33680  Aitolahti (Tampere),190927418,1654,9,45,28357,37006182,824,4,2,2,296
33700,Western Finland,Pirkanmaa,Tampere,Tampere,33700  Messukylä (Tampere),2171788,1743,803,39,29670,40944608,442,204,4,427,928
