Site_ID,Vendor,Longitude,Latitude,Type,Total_Sites,Swapped_Sites,Swapped_5G
2G10023,E,25.811293,60.438258,GUL,1,0,0
2G10025,E,26.424872,60.619900,GUL,1,0,0
2G10029,E,25.694699,60.391729,GUL,1,0,0
2G10030,E,26.479830,60.530374,GUL,1,0,0
2G10031,E,26.294091,60.469659,GUL,1,0,0
2G10032,E,26.257338,60.409785,GUL,1,0,0
2G10033,E,26.231816,60.458181,GUL,1,0,0
2G10034,E,26.216469,60.454500,GUL,1,0,0
2G10035,E,25.623835,60.351853,GUL,1,0,0
2G10036,E,25.726866,60.303525,GUL,1,0,0
2G10037,E,25.776294,60.587982,GUL,1,0,0
2G10038,E,25.666008,60.457420,GUL,1,0,0
2G10039,E,26.046454,60.686850,GUL,1,0,0
2G10041,H,25.389885,60.254068,GUL,1,1,0
2G10042,E,25.634773,60.259246,GUL,1,0,0
2G10043,E,25.768717,60.386390,GUL,1,0,0
2G10044,E,25.843254,60.207454,GUL,1,0,0
2G10047,E,25.876231,60.347858,GUL,1,0,0
2G10048,E,26.079803,60.308934,GUL,1,0,0
2G10049,H,25.487960,60.266851,GUL,1,1,0
2G10050,H,25.435050,60.170226,GUL,1,1,0
2G10052,H,25.621026,60.401196,GULN,1,1,1
2G10053,E,25.759902,60.357690,GUL,1,0,0
2G10055,E,25.599714,60.355615,GUL,1,0,0
2G10056,E,26.228944,60.441292,GUL,1,0,0
2G10057,E,26.496759,60.366908,GUL,1,0,0
2G10058,E,25.986256,60.389958,GUL,1,0,0
2G10059,E,25.742797,60.262854,GUL,1,0,0
2G10060,E,25.914946,60.229638,GUL,1,0,0
2G10061,E,25.728577,60.516840,GUL,1,0,0
2G10062,E,25.840197,60.274085,GUL,1,0,0
2G10063,E,25.479255,60.499747,GUL,1,0,0
2G10064,E,25.596257,60.290975,GUL,1,0,0
2G10065,E,25.587174,60.583198,GUL,1,0,0
2G10066,E,25.698149,60.376667,GUL,1,0,0
2G10067,E,25.888529,60.260625,GUL,1,0,0
2G10068,E,25.740008,60.469203,GUL,1,0,0
2G10069,E,25.519316,60.398982,GUL,1,0,0
2G10070,E,26.383395,60.438774,GUL,1,0,0
2G10071,E,26.049188,60.359129,GUL,1,0,0
2G10072,E,25.685836,60.409036,GUL,1,0,0
2G10074,E,26.248626,60.458501,GUL,1,0,0
2G10075,E,26.270168,60.676313,GUL,1,0,0
2G10079,E,25.670384,60.395745,GUL,1,0,0
2G10080,E,25.633356,60.386785,GUL,1,0,0
2G10083,E,25.604357,60.389905,GUL,1,0,0
2G10084,E,26.227804,60.458696,GUL,1,0,0
2G10085,E,25.595259,60.372370,GUL,1,0,0
2G10090,E,25.824667,60.402018,GUL,1,0,0
2G10091,E,25.570997,60.482810,GUL,1,0,0
2G10092,E,25.538833,60.505895,GUL,1,0,0
2G10093,E,25.676998,60.550596,UL,1,0,0
2G10094,E,26.050476,60.444451,GUL,1,0,0
2G10095,E,26.014423,60.657086,UL,1,0,0
2G10096,E,26.197968,60.376092,GUL,1,0,0
2G10098,E,25.665890,60.401330,GUL,1,0,0
2G10099,E,26.449585,60.274407,UL,1,0,0
2G10100,E,26.248621,60.579043,UL,1,0,0
2G10101,E,25.635892,60.378217,GUL,1,0,0
2G10102,E,25.707276,60.382988,GUL,1,0,0
2G10103,E,26.210204,60.463199,GUL,1,0,0
2G10108,E,25.665424,60.396324,GUL,1,0,0
2G10109,E,25.678418,60.392745,GUL,1,0,0
2G10110,E,25.522172,60.354391,GUL,1,0,0
2G10111,E,25.732315,60.336641,GUL,1,0,0
2G10112,E,25.700583,60.388419,GUL,1,0,0
2G10113,E,25.660246,60.393793,GUL,1,0,0
2G10115,E,25.657641,60.388325,GUL,1,0,0
2G10116,E,26.046990,60.557205,GUL,1,0,0
2G10117,H,25.637385,60.360263,GULN,1,1,1
2G10118,E,25.650661,60.388632,GUL,1,0,0
2G10501,H,21.485348,61.129434,GULN,1,1,1
2G10503,E,22.145234,61.116466,GUL,1,0,0
2G10504,H,21.751232,61.203206,GULN,1,1,1
2G10505,E,21.940841,61.407395,GUL,1,0,0
2G10506,E,22.133413,61.316054,GUL,1,0,0
2G10507,H,22.205687,60.495654,GULN,1,1,1
2G10508,E,22.085086,61.265213,GUL,1,0,0
2G10509,E,22.435840,61.039140,GUL,1,0,0
2G10510,E,21.597712,61.168997,GUL,1,0,0
